text,label
"The movie is amazing, and love it",1
"It is very bad, I walk out of the movie",0
The acting is brilliant and the visual is amazing,1
"it is very boring, I want my money back",0
The visual is beautiful and amazing,1
"I highly recommended, it was a wonderful experience",1
It is a waste of time ,0
The story was disappointing,0
A beautiful movie it is a wonderful watch  ,1
the plot is comfusing and hard to understand,0
It is very enjoyable from start to finish,1
I regret watching this it is very awful,0
it is one of the worst film I have ever seen,0
I loved this movie so much,1
A loveable and inspiring story,1
I don't recommend this movie ,0
It's absolutely good I love it,1
This movie is very boring I fell asleep watching it,0
It's a beautifully made movie ,1
"It very awful, I want my money back",0
